H|01020101|600420|A|20220403|12
D|001|20220403|585379800|8647533208|9088679308|344550400
D|002|20220403|167809200|4483830551|4382277751|240514500
D|009|20220403|154914600|6178448679|6135998479|397638300
D|007|20220403|267489000|3016439319|3106013019|119783100
D|011|20220403|56280900|1088931697|1045239497|75331600
D|012|20220403|78768600|2671274708|2608091808|132842900
D|005|20220403|273964100|3931998724|4012757824|282077000
D|008|20220403|102495500|3202132295|3169017095|116026400
D|003|20220403|73127000|3224064201|3194575901|7228800
D|006|20220403|95666600|2350667474|2307191574|80725800
D|010|20220403|137328000|5158650030|5166188430|161866700
D|004|20220403|122884500|5060790676|5030143676|216038500
