H|01020101|600420|A|20220501|12
D|001|20220501|681735500|11395824193|11953456393|245885500
D|002|20220501|355776400|5148265166|5246699666|345893700
D|009|20220501|134166200|5317053292|5083138792|102058100
D|007|20220501|113242000|2600801966|2508063966|191341400
D|011|20220501|99272700|1140752900|1174263400|44360900
D|012|20220501|136659500|2820657690|2977331390|124426500
D|005|20220501|407227400|2673812076|2763380976|301515000
D|008|20220501|28774300|2885354962|2898746562|72009700
D|003|20220501|97876900|3461203086|3357552086|217911400
D|006|20220501|178491300|2482691646|2513628346|135818000
D|010|20220501|387989500|5631583496|6246661796|175277400
D|004|20220501|95622000|5009272095|4843025595|203356000
