H|01020101|600420|A|20220515|12
D|001|20220515|245885500|5606061171|5733952871|117993800
D|002|20220515|345893700|2070811519|2089175019|327530200
D|009|20220515|102058100|3128629062|2864733462|365953700
D|007|20220515|191341400|2040783043|2038412643|193711800
D|011|20220515|44360900|320207420|283916420|80651900
D|012|20220515|124426500|1150210061|1020552061|254084500
D|005|20220515|301515000|1883057088|1824664088|359908000
D|008|20220515|72009700|1420265256|1403249356|89025600
D|003|20220515|217911400|1945868062|1984335762|179443700
D|006|20220515|135818000|1415431599|1455485399|95764200
D|010|20220515|175277400|3667336493|3530477493|312136400
D|004|20220515|203356000|2455805691|2390250691|268911000
