H|01020101|600420|A|20220417|12
D|001|20220417|344550400|10796261933|10459076833|681735500
D|002|20220417|240514500|5910678900|5795417000|355776400
D|009|20220417|397638300|4860702249|5124174349|134166200
D|007|20220417|119783100|3708636105|3715177205|113242000
D|011|20220417|75331600|1232752795|1208811695|99272700
D|012|20220417|132842900|3274463999|3270647399|136659500
D|005|20220417|282077000|4380904228|4255753828|407227400
D|008|20220417|116026400|3214098481|3301350581|28774300
D|003|20220417|7228800|3357220591|3266572491|97876900
D|006|20220417|80725800|3124059380|3026293880|178491300
D|010|20220417|161866700|6221173708|5995050908|387989500
D|004|20220417|216038500|6020765903|6141182403|95622000
