H|01020101|600420|A|20220626|12
D|001|20220626|274761100|13068239462|12695495262|647505300
D|002|20220626|134425300|4875250382|4828806882|180868800
D|009|20220626|216791900|4907295244|4942149944|181937200
D|007|20220626|164316000|4445061255|4493996755|115380500
D|011|20220626|88045100|1740380945|1736644345|91781700
D|012|20220626|108352500|2586866336|2571730736|123488100
D|005|20220626|212074000|2968233025|2879215425|301101600
D|008|20220626|36343300|3098907101|3061891801|73358600
D|003|20220626|20627200|4411864438|4320268738|112222900
D|006|20220626|196007800|1739290675|1816654675|118643800
D|010|20220626|249270900|8460237416|8588781316|120727000
D|004|20220626|213958000|4305546200|4229844700|289659500
