H|01020101|600420|A|20220529|12
D|001|20220529|117993800|8749577233|8550294133|317276900
D|002|20220529|327530200|4602332902|4708931502|220931600
D|009|20220529|365953700|4685189903|4832825103|218318500
D|007|20220529|193711800|2398049641|2330228141|261533300
D|011|20220529|80651900|607218292|588331992|99538200
D|012|20220529|254084500|1978642445|2126633745|106093200
D|005|20220529|359908000|3196206013|3152382613|403731400
D|008|20220529|89025600|2168056747|2156300347|100782000
D|003|20220529|179443700|3155273851|3125872851|208844700
D|006|20220529|95764200|2019906820|2019326320|96344700
D|010|20220529|312136400|4254418975|4230551675|336003700
D|004|20220529|268911000|2548440327|2568858827|248492500
